home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Jaguars,311.0,380.0,jump shot,,true,3.0
Bears,Jaguars,232.0,88.0,jump shot,,false,2.0
Bears,Jaguars,1048.0,335.0,layup,,false,2.0
Bears,Jaguars,1026.0,310.0,dunk,,false,2.0
Bears,Jaguars,1033.0,365.0,jump shot,,false,2.0
Bears,Jaguars,1051.0,338.0,dunk,,false,2.0
Bears,Longhorns,127.0,260.0,layup,,false,2.0
Bears,Longhorns,930.0,181.0,jump shot,,false,2.0
Bears,Longhorns,122.0,327.0,layup,,false,2.0
Bears,Longhorns,102.0,321.0,layup,,false,2.0
Bears,Longhorns,1037.0,281.0,layup,,false,2.0
Bears,Longhorns,1030.0,279.0,dunk,,false,2.0
Bears,Jayhawks,230.0,90.0,jump shot,,true,3.0
Bears,Jayhawks,105.0,283.0,layup,,false,2.0
Bears,Jayhawks,79.0,325.0,layup,,false,2.0
Bears,Jayhawks,81.0,314.0,dunk,,false,2.0
Bears,Jayhawks,82.0,273.0,layup,,false,2.0
Bears,Jayhawks,1035.0,334.0,layup,,false,2.0
